"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
480,4.49537096423372,1.8785052306049,3.70064110246727,2.76821925660833,4.05019971070698,2.40008917681876,4.2344301795378,2.2344301795378
481,4.4280976208646,1.78163448475845,3.70077200425682,2.66334550792682,3.99054566895506,2.34043513506684,4.18205875609182,2.18205875609182
482,4.64706075653175,2.01585504650365,3.84022841512668,2.74560599383166,4.12022513284746,2.47011459895924,4.29291720447917,2.29291720447917
483,4.88986471766147,2.25659192684259,5.22846171953839,2.74117013945659,4.55077658691746,2.90066605302925,4.98481592949749,2.98481592949749
484,4.5397418346095,1.86718302249346,4.06433726940534,2.41646564725493,4.08184178518475,2.43173125129654,4.24040145833013,2.24040145833013
485,3.9596427679061,1.40442268224825,3.12264282936084,2.19709916966297,3.4796844192135,1.82957388532528,3.65987099951191,1.65987099951191
486,4.25549500336817,1.6062955107192,3.5301326735154,2.18818791155075,3.72058949245211,2.0704789585639,3.85916029253307,1.85916029253307
487,4.62200419963897,2.15398327450634,3.82715045941748,3.04348180111,4.25746399863708,2.60735346474886,4.43531613026374,2.43531613026374
488,4.42280253355624,1.80706238502968,3.65193138602738,2.56646087836356,3.93979798101147,2.28968744712325,4.10919613219547,2.10919613219547
489,4.78336867467538,2.11953497560707,3.97137956402175,2.79966190510524,4.22409785825084,2.57398732436262,4.38552073456349,2.38552073456349
490,4.68221809652646,1.99597481931025,3.82718789725908,2.68520095624584,4.10045621021737,2.45034567632916,4.25619442675246,2.25619442675246
491,4.44276858411244,1.82026959973426,3.75998741671572,2.6412930008986,4.00427916600815,2.35416863211994,4.20064020880716,2.20064020880716
492,4.14321057282448,1.46175603829488,3.39153731012388,2.27804593953475,3.65391383087736,2.00380329698915,3.83479162482932,1.83479162482932
493,3.722112159492,1.4654095400348,3.04061046905916,2.17416836833711,3.43142875412327,1.78131822023506,3.60738941869814,1.60738941869814
494,4.23832852054069,1.82428266422507,3.57796389197553,2.70712443476039,3.96708058602799,2.31697005213978,4.14254416336796,2.14254416336796
495,3.8345401720778,1.29872232796334,3.23739768260106,0.622361805363303,3.07398176620486,1.42387123231664,2.92987974398218,0.929879743982181
496,3.70446205534954,1.0368726715488,2.90679712901748,1.37230896455309,3.04979964084525,1.39968910695704,3.13955304678529,1.13955304678529
497,3.95933488781546,1.32023124423263,3.15209640969398,2.13095094514371,3.46876536942083,1.81865483553261,3.64152367741884,1.64152367741884
498,3.70191451637156,1.04305185951117,2.84497604471164,1.60463776833459,3.0818861745064,1.43177564061818,3.22480690652312,1.22480690652312
499,3.83684047564022,1.237727747878,3.00048037770139,2.05399184663675,3.35467998865146,1.70456945476325,3.52723611216907,1.52723611216907
500,4.0077439354573,1.42305366118968,3.36541399135198,2.1789660166324,3.57205584070283,1.92194530681461,3.77219000399219,1.77219000399219
