"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"48",48,0.667279715639178,0.296496998146611,0.667274019419239,0.29655202269301,0.763657962849644,0.29655202269301,0.59920433914923,0.360811655892079,0.652956774685007,0.287117787578015,0.766974783545088,0.0330385456560027,0.848780547239662,0.111235447801647,0.653089835780883,0.306926159260426,0.704569573008581,0.265695782139166,0.64,0.32
"49",49,0.739105521171767,0.370220502510803,0.739097741581966,0.370244848670751,0.835435960425487,0.370244848670751,0.678675561854448,0.441744310608997,0.733157079687018,0.367209593345619,0.817666994938148,0.116016232114723,0.927798642955578,0.192621229507868,0.733291774491951,0.387128097971494,0.772391691516129,0.336939921036019,0.72,0.4
"50",50,0.685305595902026,0.31429134050695,0.685257843759184,0.314325667923651,0.781610939162212,0.314325667923651,0.619035683467766,0.380514879004692,0.672749894139955,0.306916096150329,0.779763929148542,0.0531948729118394,0.868651616414258,0.130898946058201,0.672857119496458,0.326693442976001,0.724171116853302,0.285218918962866,0.66,0.33
"51",51,0.720823310687293,0.350704043501689,0.720789263600585,0.350736230376926,0.817139168634579,0.350736230376926,0.658377072824809,0.420488144615178,0.712382074314757,0.346492243926174,0.804846369370008,0.094207978496648,0.907797088217804,0.171068129222184,0.712514446980222,0.366350770459765,0.752594714744763,0.315620709280943,0.7,0.38
"52",52,0.630287103196203,0.261540433482136,0.630268962895564,0.261556840988161,0.726595349576021,0.261556840988161,0.558764235735772,0.322079521733677,0.613396476075689,0.247552460919353,0.740817898011312,-0.00678143345343812,0.807810876278642,0.0730328811908072,0.613503716994953,0.267340040474496,0.663227186162995,0.228669912232583,0.61,0.28
"53",53,0.649252470202606,0.279147971294513,0.649223069400957,0.279185380964181,0.745580758746493,0.279185380964181,0.579450400270293,0.341610405155915,0.633485136295779,0.26756610545513,0.754193970417841,0.0133567007706659,0.828855243622473,0.0922055618037354,0.633612240973333,0.287448564452876,0.673501055771359,0.238562322941518,0.62,0.3
"54",54,0.685621209381789,0.314576768829902,0.685596233661991,0.314601408302576,0.781934889673328,0.314601408302576,0.61932886116814,0.380889847549282,0.673058999307903,0.307192506450195,0.779978464697272,0.0535371259005804,0.868919434304052,0.131299274413371,0.67319119261894,0.327027516098483,0.714086542611353,0.276234077039022,0.67,0.34
"55",55,0.572235837369458,0.210464106421091,0.572174156221723,0.210488358059753,0.668512234186037,0.210488358059753,0.496392070840647,0.264907394337029,0.553612663803891,0.187803172273587,0.700016769737653,-0.065600548756256,0.7438264041964,0.0174730609812764,0.553731570849067,0.20756789432861,0.600449148903853,0.173070532405444,0.55,0.23
"56",56,0.789724208881687,0.42784098760218,0.789692680712588,0.42785518382451,0.886015771586285,0.42785518382451,0.735304510351069,0.503679680439053,0.792443402704021,0.426563278129406,0.852940924564536,0.179545901093899,0.982782299229542,0.256201891560579,0.792573933655289,0.446410257134832,0.837243503033066,0.409243849730827,0.76,0.45
"57",57,0.648795127383639,0.278752896076765,0.64876916853363,0.278783090552839,0.745116103997214,0.278783090552839,0.578940799528657,0.341181339669134,0.633015589462338,0.267142516013243,0.75388385209087,0.0128845972406223,0.828320672374325,0.091801466823466,0.633142907859124,0.286979231338667,0.673605083616959,0.237480411149749,0.63,0.3
"58",58,0.649089250070202,0.279026754796115,0.649073962418419,0.279036019104583,0.745389702523382,0.279036019104583,0.579252382366932,0.341495891994079,0.633315927058226,0.267451387681455,0.754090726949755,0.01319950168442,0.828631334502951,0.0921169398580594,0.633455975440734,0.287292298920277,0.674585870292436,0.23708590881181,0.63,0.31
"59",59,0.667479027221058,0.296745440380334,0.667462200215193,0.2967841101651,0.763821767698693,0.2967841101651,0.599430099785478,0.361090829188435,0.653151860356608,0.287348255140095,0.767139291612417,0.0332948158658442,0.848989746915379,0.111531182058535,0.653342302747185,0.307178626226728,0.694860566678799,0.256192236784168,0.65,0.32
"60",60,0.531503568016859,0.177228114189619,0.53148599442442,0.177277161125963,0.627861028528686,0.177277161125963,0.453262775117825,0.227331627114319,0.513246955986812,0.147506426770864,0.671631293867674,-0.104469292007554,0.698975198984039,-0.018380796751895,0.513379039376301,0.167215362855844,0.546260695702351,0.12761059238229,0.51,0.2
"61",61,0.667276001872987,0.296415212203682,0.667248255543069,0.296433680076376,0.763577713096073,0.296433680076376,0.599138936279119,0.36079684233258,0.652932414339185,0.287019564725032,0.76694864618962,0.0329978359867955,0.848699458807838,0.11123631980386,0.653049727566078,0.306886051045621,0.704195622545255,0.266010038923035,0.64,0.32
"62",62,0.648770792799924,0.278672938412269,0.648747212378597,0.278687803048617,0.745071299489657,0.278687803048617,0.578944266305393,0.341064904173202,0.632962475989281,0.267095593918382,0.75384652251103,0.0128277862211315,0.828361315670659,0.091647854807935,0.633086423499526,0.286922746979069,0.67451629091192,0.236416052283992,0.63,0.3
"63",63,0.68597684479775,0.314966498659935,0.685966351344318,0.314990291038143,0.782303744804101,0.314990291038143,0.619736235547673,0.381309799729584,0.673411042628845,0.307558475777203,0.780244036853849,0.0539609925438649,0.869322908850442,0.131723126426814,0.673604855898857,0.3274411793784,0.724657756331733,0.286273539592284,0.66,0.34
"64",64,0.611067774167916,0.244028168159896,0.611020747029717,0.244053832187804,0.707360930088928,0.244053832187804,0.538051385705733,0.302489740445601,0.593240611546338,0.227376141821687,0.727233547136855,-0.0267826086774109,0.786749811104995,0.0537913150463377,0.593352401335895,0.247188724815438,0.633335558927179,0.198910469632718,0.59,0.27
"65",65,0.667568445985754,0.296654051549558,0.667557808891994,0.296671341114062,0.763885510236102,0.296671341114062,0.599478049208548,0.361045563064271,0.653206250532301,0.287270777068161,0.767140165754574,0.0332961778061088,0.849066598456328,0.111457013816492,0.653343644396638,0.307179967876181,0.693808995809634,0.257244124211078,0.65,0.32
"66",66,0.703811972192427,0.33297707835198,0.703779172878435,0.332998890594937,0.80011361504655,0.332998890594937,0.639493031540816,0.401108157294272,0.693244330881322,0.327347598324324,0.792843733719244,0.0743239236433298,0.889066818394108,0.151534370440981,0.693382432677773,0.347218756157316,0.744418625121605,0.305633288064062,0.68,0.35
"67",67,0.630154858989321,0.261214000967667,0.630131208415578,0.26123705169263,0.726467496478625,0.26123705169263,0.558702326497127,0.321644053741543,0.613170711166658,0.247219374268192,0.74065133995044,-0.00702935641821439,0.807864791486116,0.0724815887525542,0.613255028379564,0.267091351859107,0.653974474174446,0.217675704405425,0.61,0.28
"68",68,0.738801385053393,0.369995788016796,0.738785225666078,0.370041944622902,0.835155951878979,0.370041944622902,0.67835949422429,0.441476527157887,0.732838461623471,0.366967798829677,0.817488444796013,0.115708239689135,0.927467604485512,0.192368416896666,0.732999848951317,0.38683617243086,0.772102513018182,0.336661001358616,0.72,0.4
